OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 1833,1987-027A,2025-06-08T02:55:25.249728,14.13009898,.0026096,70.9138,183.1394,254.7369,105.0866,0,U,17589,999,97175,-.48382E-4,-.139E-5,0
SL-16 R/B,1987-027B,2025-06-08T02:44:20.892480,14.17119922,.0005606,71.0014,135.0668,203.9110,156.1754,0,U,17590,999,97671,.13644E-3,.227E-5,0
SL-14 R/B,1987-038B,2025-06-08T03:43:36.804576,14.85035980,.0019194,82.5013,195.3184,356.6229,3.4853,0,U,17912,999,5956,.3958E-4,.363E-5,0
COSMOS 1844,1987-041A,2025-06-08T00:28:26.698080,14.14470644,.0028941,70.8987,253.4863,74.1983,286.2326,0,U,17973,999,96494,.1566E-3,.253E-5,0
SL-14 R/B,1987-055B,2025-06-07T20:14:15.902304,14.85293498,.0020292,82.4999,248.0108,198.2395,161.8096,0,U,18153,999,5022,.43622E-4,.4E-5,0
COSMOS 1867,1987-060A,2025-06-07T22:47:41.341056,14.31450688,.0016014,65.0116,356.0737,258.2871,101.6417,0,U,18187,999,98083,.25616E-4,-.32E-6,0
COSMOS 1892,1987-088A,2025-06-07T18:34:21.494496,15.64006612,.0006776,82.4821,248.7164,155.6647,204.4933,0,U,18421,999,6164,.46239E-3,.43817E-3,0
SL-14 R/B,1988-001B,2025-06-07T16:27:28.432800,14.85195075,.0019702,82.5133,93.9994,69.4986,290.8342,0,U,18749,999,120,.49861E-4,.453E-5,0
COSMOS 1933,1988-020A,2025-06-08T02:37:43.480992,15.15309092,.0006154,82.5123,161.9373,79.6542,280.5384,0,U,18958,999,2982,.1302E-3,.2482E-4,0
SL-3 R/B,1988-032B,2025-06-07T22:10:09.544512,15.16489456,.0029799,97.4860,139.5559,108.4895,251.9580,0,U,19046,999,1070,.16433E-3,.3167E-4,0
SL-16 R/B,1988-039B,2025-06-08T02:23:12.507648,14.19563093,.0020463,71.0151,289.1367,36.5854,323.6664,0,U,19120,999,91968,.66193E-4,.92E-6,0
COSMOS 1953,1988-050A,2025-06-08T05:10:33.060288,15.23965152,.0013225,82.5111,73.2968,19.4742,340.6998,0,U,19210,999,1706,.28141E-3,.6855E-4,0
SL-8 R/B,1988-053B,2025-06-07T16:13:16.485600,14.38723781,.0019515,74.0476,259.2832,150.5501,320.0405,0,U,19257,999,93704,.69607E-4,.188E-5,0
COSMOS 1975,1988-093A,2025-06-08T02:44:29.163552,15.22984857,.0014571,82.5238,32.0770,62.1447,298.1263,0,U,19573,999,99872,.22576E-3,.5352E-4,0
SL-14 R/B,1988-093B,2025-06-07T21:51:49.006368,14.85323520,.0019725,82.5305,299.8899,224.3252,252.8671,0,U,19574,999,96024,.46765E-4,.427E-5,0
SL-16 R/B,1988-102B,2025-06-08T01:25:34.928256,14.16102864,.0012291,71.0000,9.3207,65.6658,294.5747,0,U,19650,999,88829,.92676E-4,.136E-5,0
INTERCOSMOS 24,1989-080A,2025-06-08T03:31:40.063008,12.59017976,.1189856,82.6054,282.9243,209.5905,143.2477,0,U,20261,999,63183,.28328E-3,.963E-5,0
SL-14 R/B,1989-080C,2025-06-08T00:33:00.024480,12.50302189,.123182,82.5941,349.5565,92.5361,281.6978,0,U,20262,999,62540,.10899E-3,.394E-5,0
DELTA 1 R/B,1989-089B,2025-06-08T03:19:09.326496,14.50393597,.0067721,97.1056,44.8276,269.8420,89.5017,0,U,20323,999,87646,.75907E-4,.269E-5,0
ARIANE 40 R/B,1990-005H,2025-06-07T21:11:44.683584,14.39635110,.0009124,98.3462,222.1011,316.4299,43.6168,0,U,20443,999,85326,.89935E-4,.239E-5,0
DELTA 2 R/B(1),1990-008B,2025-06-08T04:53:07.480320,15.32154402,.0142163,35.6078,138.3114,281.3245,77.1540,0,U,20453,999,88374,.56351E-3,.2487E-3,0
COSMOS 2058,1990-010A,2025-06-07T21:32:10.000608,15.08829031,.0009885,82.4757,317.4328,196.5674,163.5234,0,U,20465,999,90077,.17052E-3,.2713E-4,0
SL-14 R/B,1990-010B,2025-06-07T17:50:36.318624,14.83254462,.0021264,82.5015,165.5442,123.5662,236.7588,0,U,20466,999,88772,.44355E-4,.388E-5,0
SL-14 R/B,1990-018B,2025-06-07T21:39:53.771616,14.81840788,.0014834,82.5207,119.8857,277.2019,82.7509,0,U,20511,999,90297,.45415E-4,.382E-5,0
HST,1990-037B,2025-06-07T13:23:59.624736,15.25222559,.0002416,28.4671,110.1765,348.6174,11.4365,0,U,20580,999,73121,.16561E-3,.4494E-4,0
SL-16 R/B,1990-046B,2025-06-08T03:00:28.397952,14.14964759,.0014368,70.9972,154.5218,352.1607,7.9289,0,U,20625,999,80980,-.1199E-3,-.28E-5,0
COSMOS 2084,1990-055A,2025-06-08T04:01:37.789536,15.03650174,.0062269,62.7887,190.3463,153.6176,206.8118,0,U,20663,999,89502,.15135E-3,.1957E-4,0
SL-6 R/B(2),1990-055D,2025-06-08T03:30:36.748224,15.02001923,.0027908,62.7825,106.2072,189.3995,170.6585,0,U,20666,999,89640,.13007E-3,.1526E-4,0
SL-8 R/B,1990-078B,2025-06-07T21:11:05.849376,14.78167398,.0401944,82.9065,136.1985,210.3722,147.3652,0,U,20775,999,76856,.26303E-3,.7874E-4,0
SL-8 R/B,1991-006B,2025-06-07T21:35:05.007264,13.77455751,.0023887,82.9432,14.4665,85.1231,285.8976,0,U,21088,999,72624,.10894E-3,.124E-5,0
OKEAN-3,1991-039A,2025-06-07T18:40:24.691584,15.02736039,.0014803,82.5182,242.7177,180.7171,179.4036,0,U,21397,999,82372,.21299E-3,.2878E-4,0
COSMOS 2151,1991-042A,2025-06-07T19:18:14.374656,14.98823502,.0011043,82.4970,348.4840,268.7392,91.2566,0,U,21422,999,82200,.12773E-3,.1568E-4,0
SL-14 R/B,1991-042B,2025-06-07T21:35:01.442400,14.81539069,.0018595,82.4924,117.8265,66.2631,294.0531,0,U,21423,999,81238,.4747E-4,.397E-5,0
ERS-1,1991-050A,2025-06-07T21:28:16.130496,14.39194356,.0031019,98.7911,165.1837,298.4841,61.3223,0,U,21574,999,77618,.977E-4,.258E-5,0
ARIANE 40 R/B,1991-050F,2025-06-08T02:42:47.754144,14.42632168,.0003385,98.2396,216.0268,163.5404,196.5897,0,U,21610,999,77967,.95476E-4,.275E-5,0
INTERCOSMOS 25,1991-086A,2025-06-07T23:35:23.157888,12.11026473,.1490549,82.6027,115.9987,348.7922,8.3057,0,U,21819,999,46343,.37173E-3,.1888E-4,0
SL-8 R/B,1992-008B,2025-06-07T22:05:08.144160,13.75932363,.0034554,82.9261,112.1252,179.7813,241.6926,0,U,21876,999,67163,.89506E-4,.102E-5,0
SL-8 R/B,1992-020B,2025-06-07T19:05:37.425120,13.75506590,.0028776,82.9307,357.9208,347.9341,22.5802,0,U,21938,999,66334,.12469E-3,.135E-5,0
USA 81,1992-023A,2025-06-07T21:29:19.330368,14.32242766,.0001976,85.0065,289.9401,115.4170,244.7227,0,U,21949,999,5545,.54336E-4,.166E-5,0
